	initial_df_index	chrom	end	start	strand	disruption_SCD	insertion_SCD
0	1729	chr4	87368268	87368249	+	90.56	65.75
1	5112	chr1	109860827	109860808	-	89.2	47.97
2	1189	chr3	22309188	22309169	+	81.5	60.4
3	4301	chr1	5161770	5161751	-	79.2	55.88
4	6726	chr1	71247702	71247683	+	68.56	43.2
5	6730	chr1	72980067	72980048	-	68.3	56.7
6	2594	chr6	60556001	60555982	+	67.7	40.38
7	2035	chr5	7996919	7996900	-	66.06	59.4
8	5884	chr1	12140114	12140095	-	65.1	51.62
9	5773	chr1	81439574	81439555	+	64.94	46.94
10	4200	chr9	103996726	103996707	-	64.9	51.25
11	6292	chr1	56066340	56066321	+	63.97	42.94
12	4584	chr1	106609250	106609231	+	63.97	42.62
13	376	chr1	144380222	144380203	-	63.4	48.44
14	4313	chr1	8240468	8240449	-	62.34	45.88
15	5367	chr1	77000269	77000250	+	62.22	54.97
16	95	chr1	44745882	44745863	+	62.12	40.25
17	1701	chr4	81178889	81178870	+	62.03	50.0
18	3798	chr9	10909768	10909749	+	61.12	47.94
19	2603	chr6	64650119	64650100	-	60.56	60.88
20	6243	chr1	32766485	32766466	-	60.56	46.62
21	1548	chr4	9135983	9135964	+	60.03	34.12
22	3225	chr7	118305013	118304994	+	59.5	47.62
23	4374	chr1	39520570	39520551	-	58.34	40.5
24	189	chr1	78724658	78724639	+	58.25	47.28
25	1061	chr2	160598038	160598019	+	57.94	55.8
26	7178	chr1	33790258	33790239	-	57.72	56.3
27	5279	chr1	40837750	40837731	+	57.5	46.25
28	3500	chr8	41443763	41443744	+	57.34	56.06
29	6055	chr1	68494314	68494295	-	56.94	24.97
30	28	chr1	11657910	11657891	+	56.8	43.62
31	4928	chr1	77100337	77100318	+	55.88	49.25
32	6686	chr1	41244935	41244916	-	55.72	48.0
33	6097	chr1	87452291	87452272	-	55.72	63.0
34	7126	chr1	16217050	16217031	+	54.9	26.8
35	4804	chr1	53255133	53255114	-	54.8	39.5
36	3788	chr9	7216447	7216428	+	54.56	27.64
37	3479	chr8	35850598	35850579	-	54.5	50.94
38	3657	chr8	102781131	102781112	-	54.44	41.34
39	2163	chr5	49962010	49961991	-	54.16	50.88
40	3121	chr7	90410162	90410143	-	54.06	39.75
41	1561	chr4	15328717	15328698	+	54.03	40.72
42	4722	chr1	31949616	31949597	-	54.0	41.44
43	304	chr1	120586671	120586652	+	53.8	57.06
44	5534	chr1	19698921	19698902	+	53.16	40.8
45	5317	chr1	57825950	57825931	+	53.03	34.38
46	6727	chr1	72215933	72215914	-	52.7	45.56
47	3808	chr9	15685402	15685383	+	52.62	45.03
48	4322	chr1	10321327	10321308	-	52.47	23.97
49	3934	chr9	49494135	49494116	+	52.4	51.5
50	1236	chr3	50906169	50906150	-	52.12	57.06
51	4820	chr1	57467973	57467954	-	52.03	54.47
52	5124	chr1	113165316	113165297	-	51.88	57.94
53	3943	chr9	51152608	51152589	-	51.8	48.22
54	6716	chr1	58299658	58299639	+	51.56	30.08
55	6618	chr1	22564783	22564764	+	51.44	49.16
56	3487	chr8	36523135	36523116	-	51.4	44.44
57	5953	chr1	34810941	34810922	+	51.3	52.97
58	2729	chr6	101261740	101261721	-	51.0	49.47
59	3285	chr7	132213694	132213675	-	50.8	38.62
60	704	chr2	48886271	48886252	-	50.28	44.53
61	5304	chr1	54060974	54060955	-	50.12	27.78
62	8	chr1	5905019	5905000	-	50.06	44.22
63	3831	chr9	26776375	26776356	-	50.0	53.88
64	277	chr1	103799519	103799500	+	49.53	56.44
65	4155	chr9	88222188	88222169	-	49.5	40.1
66	7262	chr1	58481884	58481865	-	49.28	39.28
67	5814	chr1	100112788	100112769	+	49.16	37.22
68	1177	chr3	14679394	14679375	+	49.06	29.97
69	6678	chr1	37109459	37109440	+	48.75	19.0
70	1524	chr3	153655318	153655299	-	48.72	48.28
71	6751	chr1	89765698	89765679	-	48.38	54.0
72	5779	chr1	89543228	89543209	-	48.3	56.84
73	4763	chr1	40149509	40149490	-	48.28	36.34
74	1414	chr3	113080940	113080921	-	48.2	53.4
75	4469	chr1	70963797	70963778	-	47.53	51.97
76	2608	chr6	66533480	66533461	-	47.34	41.22
77	7259	chr1	57976815	57976796	+	47.28	41.3
78	5429	chr1	92303388	92303369	+	47.12	48.12
79	2538	chr6	43686140	43686121	+	47.1	34.0
80	6187	chr1	11038687	11038668	+	47.06	40.16
81	2478	chr6	13281064	13281045	-	47.06	44.4
82	1582	chr4	25180081	25180062	-	46.94	22.34
83	856	chr2	110229883	110229864	+	46.8	37.2
84	881	chr2	118638293	118638274	+	46.34	48.4
85	6050	chr1	67674858	67674839	-	46.2	40.62
86	480	chr1	179477262	179477243	-	45.97	54.9
87	5372	chr1	78056191	78056172	+	45.84	48.03
88	6271	chr1	44836402	44836383	+	45.7	45.75
89	4125	chr9	80293262	80293243	+	45.3	48.66
90	44	chr1	21411405	21411386	+	45.28	35.97
91	3586	chr8	80483379	80483360	-	45.28	32.34
92	6708	chr1	55477026	55477007	-	44.9	60.88
93	4288	chr9	122729759	122729740	-	44.72	40.56
94	583	chr2	17415581	17415562	-	44.56	38.03
95	1554	chr4	13778049	13778030	-	44.5	20.47
96	6721	chr1	64748455	64748436	-	44.47	52.25
97	2586	chr6	57570627	57570608	-	44.28	34.06
98	6578	chr1	13117421	13117402	+	44.28	48.25
99	115	chr1	54381475	54381456	-	44.12	34.1
100	6266	chr1	40166896	40166877	+	44.03	40.53
101	7042	chr1	83271696	83271677	+	44.0	39.2
102	4034	chr9	63136063	63136044	+	43.94	32.22
103	1300	chr3	68056550	68056531	+	43.88	35.0
104	1192	chr3	25220822	25220803	-	43.8	23.62
105	3218	chr7	118102455	118102436	-	43.53	59.94
106	3948	chr9	51335485	51335466	+	43.47	26.75
107	6785	chr1	96671807	96671788	-	43.4	27.66
108	862	chr2	113494904	113494885	+	43.34	43.28
109	121	chr1	55404561	55404542	+	43.25	39.06
110	1318	chr3	80079969	80079950	+	43.0	35.7
111	4704	chr1	25862989	25862970	-	42.66	37.9
112	5833	chr1	109213188	109213169	-	42.6	60.5
113	3534	chr8	58566283	58566264	+	42.56	33.8
114	6728	chr1	72218227	72218208	+	42.38	47.1
